Language,Latitude,Longitude,Divisions(Each Language),Teachers,School Code,School Name,School Type,Slno,Standards,Strength(Each Language),School Type
"MALAYALAM,ENGLISH",10.170493,76.234253,"4,0",7,25802,G. L. P. S. Chendamangalam,G,63,1 to 4,"143,0",LP
MALAYALAM,10.135285,76.219524,4,5,25806,Govt. L. P. S. Kedamangalam,G,64,1 to 4,141,LP
MALAYALAM,10.164991,76.213877,4,5,25819,Govt. Mohammeden L. P. S. Vadakkekara,G,65,1 to 4,39,LP
"MALAYALAM,ENGLISH",10.173296,76.268359,"12,6",30,25033,Elenthikkara High School,A,66,5 to 10,"464,251",HS
MALAYALAM,10.149033,76.227542,5,6,25848,Govt. L. P. G. S. North Paravoor,G,67,1 to 5,52,LP
"MALAYALAM,ENGLISH",10.187902,76.203115,"13,6",34,25055,S. N. M. H. S. S. Moothakunnam,A,68,5 to 10,"469,243",HS
MALAYALAM,10.17846,76.209426,4,5,25818,Govt. S. N. V. L. P. S. Thuruthipuram,G,69,1 to 4,54,LP
"MALAYALAM,ENGLISH",10.149599,76.233519,"12,7",19,25836,St. Germain`s Zion L. P. S. North Paravoor,A,70,1 to 4,"390,241",LP
MALAYALAM,10.196423,76.218969,18,29,25099,St. Joseph`s H. S. Chathedom,A,71,1 to 10,465,HS
"MALAYALAM,ENGLISH",10.100055,76.26498,"21,12",51,25051,St. Philomina`s H. S. S. Koonammavu,A,72,5 to 10,"871,530",HS
MALAYALAM,10.014927,76.428838,11,19,25107,Govt. H. S. S. Pazhanthottam,G,73,1 to 10,263,HS
MALAYALAM,10.034957,76.408689,4,5,25608,Govt. L. P. S. Kizhakkambalam,G,74,1 to 4,20,LP
"MALAYALAM,ENGLISH",10.00621,76.459929,"5,2",9,25606,Govt. L. P. S. Kadayirippu,G,75,1 to 4,"144,72",LP
MALAYALAM,10.036833,76.450128,7,11,25633,Govt. U. P. S. Kummanode,G,76,1 to 7,141,UP
MALAYALAM,9.977702,76.496063,7,10,25632,Govt. U. P. S. Kadamattom,G,77,1 to 7,59,UP
MALAYALAM,10.003642,76.390991,4,5,25626,L. P. S. Pinarmunda,A,78,1 to 4,51,LP
MALAYALAM,9.989027,76.496954,4,4,25619,Mar Thoma L. P. S. Kadackanad,A,79,1 to 4,67,LP
MALAYALAM,10.035067,76.407542,32,52,25042,St. Joseph`s H. S. Kizhakkambalam,A,80,5 to 10,1264,HS
