Language,Latitude,Longitude,Divisions(Each Language),Teachers,School Code,School Name,School Type,Slno,Standards,Strength(Each Language),School Type
"MALAYALAM,ENGLISH",10.061723,76.68413,"18,17",56,27007,Govt. H S for Girls Perumbavoor,G,431,5 to 10,"712,737",HS
MALAYALAM,9.900681,76.386958,13,24,26045,Govt. H.S.S. Mulanthuruthy,G,432,5 to 10,426,HS
MALAYALAM,9.897699,76.420091,10,19,26047,Govt. H.S Pulickamaly,G,433,1 to 10,126,HS
MALAYALAM,9.849915,76.405145,4,6,26403,Govt. L.P.S. Kanjiramattom,G,434,1 to 4,28,LP
"MALAYALAM,ENGLISH",9.837806,76.413238,"9,0",13,26439,Govt. U.P.S. Keechery,G,435,1 to 7,"211,0",UP
"MALAYALAM,ENGLISH",9.932168,76.389423,"10,5",30,26049,Govt. H.S.S And V.H.S.S. Chottanikkara,G,436,1 to 10,"340,162",HS
MALAYALAM,9.936321,76.373801,6,14,26051,Govt. H.S. Thiruvankulam,G,437,5 to 10,76,HS
MALAYALAM,9.897594,76.399784,7,11,26440,Govt. U..P.S. Karikode,G,438,1 to 7,63,UP
MALAYALAM,9.857685,76.401347,4,5,26401,Govt. J.B.S. Amballoor,G,439,1 to 4,29,LP
MALAYALAM,9.929794,76.389947,4,5,26412,J.B.S.. Kanayannur,G,440,1 to 4,44,LP
"MALAYALAM,ENGLISH",9.852135,76.383648,"18,17",55,26075,K.P.M.H.S.S. Poothotta,A,441,5 to 10,"795,699",HS
"MALAYALAM,ENGLISH",9.866495,76.381188,"6,3",13,26450,Little Flower U.P.S. South Parur,A,442,5 to 7,"163,127",UP
"MALAYALAM,ENGLISH",9.834339,76.424278,"5,3",8,26413,L.P.S. Arayankavu,A,443,1 to 4,"137,108",LP
MALAYALAM,9.955345,76.358337,4,4,26416,L.P.S. Irimpanam,A,444,1 to 4,19,LP
MALAYALAM,9.936193,76.374222,4,4,26418,M.O.M.L.P.S. Kadungamangalam,A,445,1 to 4,18,LP
"MALAYALAM,ENGLISH",9.952029,76.357303,"5,3",8,26419,M.D.M.L.P.S. Karingachira,A,446,1 to 4,"131,100",LP
MALAYALAM,9.839691,76.414512,3,6,26452,Sanskrit U.P.S Thottara,A,447,5 to 7,72,UP
MALAYALAM,9.952861,76.358825,4,4,26417,S.N.D.P. L.P.S. Irimpanam,A,448,1 to 4,51,LP
"MALAYALAM,ENGLISH",9.872773,76.395533,"11,13",27,26441,St. Francis U.P.S. Amballoor,A,449,1 to 7,"298,577",UP
"MALAYALAM,ENGLISH",9.887262,76.433119,"10,6",26,26001,St. George`s H.S Arakkunnam,A,450,5 to 10,"317,249",HS
"MALAYALAM,ENGLISH",9.856197,76.402144,"18,9",48,26040,St. Ignatious H.S.S And V.H.S.S. Kanjiramattom,A,451,5 to 10,"729,382",HS
MALAYALAM,9.956041,76.366119,8,8,26420,K.C.L.P.S Chitrapuzha,A,452,1 to 4,192,LP
"MALAYALAM,ENGLISH",9.913293,76.376216,"11,10",34,26050,St. Mary`s HS. Kandanad,A,453,5 to 10,"361,310",HS
"MALAYALAM,ENGLISH",9.92117,76.409055,"12,14",38,26048,St. Mary`s. H.S.S. Thalacode,A,454,1 to 12,"392,493",HS
MALAYALAM,9.914406,76.420102,4,4,26434,St. Thomas .L.P.S. Vettickal,A,455,1 to 4,71,LP
"MALAYALAM,ENGLISH",9.95634,76.358862,"12,12",45,26039,V.H.S.S. Irimpanam,A,456,5 to 12,"434,400",HS
MALAYALAM,9.852065,76.384315,4,5,26409,Govt. J.B.S. Poothotta,G,457,1 to 4,47,LP
MALAYALAM,9.925326,76.352393,4,5,26407,H.W..L.P.S. Malekad,G,458,1 to 4,23,LP
MALAYALAM,9.84563,76.441942,4,4,28515,L P S Kanaicode,A,459,1 to 4,42,LP
MALAYALAM,9.846799,76.441303,4,4,28518,L P S Parpacode,A,460,1 to 4,27,LP
"MALAYALAM,ENGLISH",9.869226,76.456255,"7,6",22,28049,St. Paul`s H S Veliyanad,A,461,5 to 10,"217,203",HS
MALAYALAM,9.870601,76.413383,4,4,28510,St. Joseph`s L P S Chethicodu,A,462,1 to 4,10,LP
MALAYALAM,9.884734,76.458847,4,4,28513,St. Mary`s L P S Ezhippuram,A,463,1 to 4,19,LP
MALAYALAM,9.897779,76.369056,4,5,26402,Govt. J.B.S. Udayamperoor,G,464,1 to 4,36,LP
MALAYALAM,9.905821,76.366578,4,5,26406,V.J.B.S. Udayamperoor,G,465,1 to 4,24,LP
"MALAYALAM,ENGLISH",9.863857,76.381591,"7,3",12,26429,Holy Family .L.P.S. South Parur,A,466,1 to 4,"205,95",LP
"MALAYALAM,ENGLISH",9.894435,76.370301,"18,30",77,26074,S.N.D.P.H.S.S. Udayamperoor,A,467,5 to 10,"683,1156",HS
MALAYALAM,10.136381,76.40775,13,21,25040,Akavoor H. S. Sreemoolanagaram,A,468,5 to 10,237,HS
MALAYALAM,10.119438,76.417657,4,5,25233,Akavoor Primary School Thekkumbhagam,A,469,1 to 4,86,LP
"MALAYALAM,ENGLISH",10.126608,76.388884,"15,15",27,25109,Govt. H. S. S. Chowara,G,470,1 to 10,"394,394",HS
"MALAYALAM,ENGLISH",10.136133,76.405894,"5,5",12,25247,Govt. L. P. S. Sreemoolanagaram,G,471,1 to 5,"268,268",LP
"MALAYALAM,ENGLISH",10.131555,76.4461,"8,8",9,25225,M. K. M. L. P. S. Kanjoor,A,472,1 to 4,"239,239",LP
MALAYALAM,10.1407,76.401053,7,9,25222,St. Augustine`s L. P. S. Edanad,A,473,1 to 4,182,LP
"MALAYALAM,ENGLISH",10.124029,76.416887,"8,8",5,25234,St. Joseph`s L. P. S. Thekkumbhagam,A,474,1 to 4,"208,208",LP
"MALAYALAM,ENGLISH",10.143816,76.427072,"20,22",63,25036,St. Joseph`s Girls H. S. Chengal,A,475,1 to 10,"957,1250",HS
"MALAYALAM,ENGLISH",10.162356,76.435506,"13,11",39,25045,St. Joseph`s C. G. H. S. Kanjoor,A,476,5 to 10,"537,455",HS
"MALAYALAM,ENGLISH",10.145211,76.427314,"15,8",39,25039,St. Sebastian`s H. S. Kanjoor,A,477,5 to 10,"569,346",HS
MALAYALAM,10.135662,76.435127,7,10,25261,S. T. M. U. P. S. Puthiyedam,A,478,1 to 7,77,UP
MALAYALAM,10.146041,76.423984,4,4,25227,Union L. P. S. Kanjoor,A,479,1 to 4,25,LP
"MALAYALAM,ENGLISH",10.161144,76.231439,"24,24",67,25017,D. D. Sabha H. S. Karimpadam,A,480,1 to 10,"1784,1784",HS
"MALAYALAM,ENGLISH",10.172329,76.234649,"9,5",26,25016,Paliyam Govt. H. S. S. Chendamangalam,G,481,5 to 10,"475,60",HS
MALAYALAM,10.17894,76.225034,5,5,25846,Govt. Fisheries L. P. S. Chendamangalam,G,482,1 to 5,12,LP
MALAYALAM,10.178422,76.225614,7,10,25849,Govt. U. P. S. Chendamangalam,G,483,1 to 7,66,UP
MALAYALAM,10.188264,76.204559,4,4,25827,Holy Cross L. P. S. Katalvathuruth,A,484,1 to 4,48,LP
MALAYALAM,10.194758,76.221246,4,4,25822,Holy Infant Jesus L. P. S. Chathedom,A,485,1 to 4,26,LP
MALAYALAM,10.172898,76.222098,4,4,25829,Santacruz L. P. S. Koottukad,A,486,1 to 4,72,LP
MALAYALAM,10.177517,76.241991,4,4,25824,St. Mary`s L. P. S. Chendamangalam,A,487,1 to 4,61,LP
"MALAYALAM,ENGLISH",10.188268,76.21746,"5,2",7,25826,St. Sebastian`s L. P. S. Gothuruth,A,488,1 to 4,"108,64",LP
"MALAYALAM,ENGLISH",10.188693,76.218264,"12,4",28,25034,St. Sebastian`s H. S. S. Gothuruthy,A,489,5 to 10,"441,151",HS
"MALAYALAM,ENGLISH",10.168719,76.443817,"11,11",23,25035,Brahmanandodhayam H. S. S. Kalady,A,490,8 to 10,"554,554",HS
"MALAYALAM,ENGLISH",10.16697,76.443659,"6,5",17,25463,B. S. U. P. S. Kalady,A,491,5 to 7,"227,209",UP
"MALAYALAM,ENGLISH",10.232817,76.43663,"4,4",8,25419,Fathima L. P. S. Anappara,A,492,1 to 4,"102,111",LP
"MALAYALAM,ENGLISH",10.210542,76.453625,"9,3",24,25082,Govt. H. S. S. Manjapra,G,493,5 to 10,"296,96",HS
MALAYALAM,10.213853,76.405052,13,22,25027,Govt. H. S. S. Mokkannoor,G,494,1 to 12,236,HS
MALAYALAM,10.198812,76.454479,4,5,25413,Govt. H. W. L. P. S. Malayattoor,G,495,1 to 4,11,LP
MALAYALAM,10.198754,76.45443,4,5,25414,Govt. J. B. S. Naduvattom,G,496,1 to 4,23,LP
MALAYALAM,10.186396,76.475497,6,8,25415,Govt. L. P. S. Neeleswaram,G,497,1 to 4,175,LP
MALAYALAM,10.225916,76.408484,7,10,25453,Govt. U. P. S. Azhakom,G,498,1 to 7,78,UP
MALAYALAM,10.202195,76.52737,7,10,25454,Govt. U. P. S. Illithodu,G,499,1 to 7,64,UP
MALAYALAM,10.17584,76.445997,7,9,25455,Govt. U. P. S. Kalady,G,500,1 to 7,48,UP
MALAYALAM,10.283398,76.421816,9,11,25458,Govt. U. P. S. Palissery,G,501,1 to 7,245,UP
"MALAYALAM,ENGLISH",10.247214,76.424751,"3,3",14,25026,Holy Family High School Thabore,A,502,8 to 10,"125,82",HS
"MALAYALAM,ENGLISH",10.247104,76.425304,"7,3",14,25466,Holy Family U. P. S. Thabore,A,503,1 to 7,"148,83",UP
MALAYALAM,10.21883,76.439699,4,4,25441,Holy Infant Jesus L. P. S. Thavalappara,A,504,1 to 4,14,LP
MALAYALAM,10.168723,76.43301,4,5,25412,Govt. H. W. L. P. S. Manickamangalam,G,505,1 to 4,34,LP
MALAYALAM,10.194511,76.405923,7,8,25430,Infant Jesus L. P. S. Kidangoor,A,506,1 to 4,218,LP
,10.173584,76.454478,,5,25437,Jama Ath L. P. S. Mekkalady,A,507,1 to 4,,LP
MALAYALAM,10.220803,76.431311,4,4,25442,Little Flower L. P. S. Thuravoor,A,508,1 to 4,10,LP
"MALAYALAM,ENGLISH",10.206006,76.418577,"10,4",26,25093,Mar Augustine`s H. S. Thuravoor,A,509,8 to 10,"372,149",HS
"MALAYALAM,ENGLISH",10.23529,76.415845,"4,4",8,25443,Nehru Memorial Convent L. P. S. Vattekadu,A,510,1 to 4,"101,137",LP
MALAYALAM,10.184786,76.446059,6,15,25054,N. S. S. Girls H. S. Manickamangalam,A,511,8 to 10,165,HS
"MALAYALAM,ENGLISH",10.184107,76.444946,"14,6",33,25053,N. S. S. H. S. S. Manickamangalam,A,512,5 to 10,"328,398",HS
MALAYALAM,10.18436,76.444809,7,7,25432,N. S. S. L. P. S. Manickamangalam,A,513,1 to 4,195,LP
"MALAYALAM,ENGLISH",10.204408,76.422263,"11,14",28,25467,St. Augustine`s U. P. S. Thuravoor,A,514,1 to 7,"269,566",UP
MALAYALAM,10.198831,76.394958,5,6,25431,Sree Bhadra L. P. S. Kidangoor,A,515,1 to 4,122,LP
MALAYALAM,10.227002,76.38324,4,4,25425,S.H. of St.Mary`s L. P. S. Karukutty,A,516,1 to 4,31,LP
"MALAYALAM,ENGLISH",10.223425,76.413552,"16,9",40,25025,Sacred Heart Orphanage H. S. Mookkannoor,A,517,1 to 10,"926,346",HS
"MALAYALAM,ENGLISH",10.181845,76.464618,"15,10",39,25037,S. N. D. P. H. S. Neeleswaram,A,518,5 to 10,"606,359",HS
MALAYALAM,10.177766,76.459421,3,4,25433,St. Joseph`s L. P. S. Malayattoor,A,519,2 to 4,11,LP
MALAYALAM,10.219953,76.451293,4,4,25436,St. Rockey`s L. P. S. Manjapra,A,520,1 to 4,54,LP
MALAYALAM,10.170361,76.425286,6,8,25451,St. Antony`s L. P. S. Mattoor,A,521,1 to 5,161,LP
MALAYALAM,10.198754,76.472831,5,7,25438,St. Antony`s L. P. S. Naduvattom,A,522,1 to 4,117,LP
"MALAYALAM,ENGLISH",10.196732,76.408406,"15,12",44,25094,St. Joseph`s H. S. Kidangoor,A,523,5 to 10,"746,593",HS
MALAYALAM,10.228343,76.380728,8,9,25427,St. Joseph`s L. P. G. S. Karukutty,A,524,1 to 4,266,LP
MALAYALAM,10.244858,76.382087,4,4,25426,St. Joseph`s L. P. S. Karukutty North,A,525,1 to 4,101,LP
"MALAYALAM,ENGLISH",10.185583,76.506058,"7,2",8,25434,St. Mary`s L. P. S. Malayattoor,A,526,1 to 4,"207,66",LP
MALAYALAM,10.195914,76.425291,4,4,25440,St. Mary`s L. P. S. Thuravoor,A,527,1 to 4,38,LP
"MALAYALAM,ENGLISH",10.212276,76.447946,"12,12",15,25464,St. Mary`s U. P. S. Manjapra,A,528,5 to 7,"366,366",UP
"MALAYALAM,ENGLISH",10.225421,76.370148,"3,2",8,25462,St. Thomas U. P. S. Karukutty,A,529,5 to 7,"89,40",UP
"MALAYALAM,ENGLISH",10.186396,76.502512,"10,10",36,25038,St. Thomas H. S. S. Malayattoor,A,530,5 to 10,"373,438",HS
"MALAYALAM,ENGLISH",10.226237,76.376024,"9,3",27,25102,Star Jesus H. S. Karukutty,A,531,8 to 10,"315,125",HS
MALAYALAM,10.109194,76.359342,9,20,25007,Govt. H. S. S. for Girls Aluva,G,532,5 to 10,217,HS
MALAYALAM,10.1093,76.359428,4,6,25201,Govt. H. A. C. L. P. S. Aluva,G,533,1 to 4,47,LP
"MALAYALAM,ENGLISH",10.123441,76.344181,"21,18",55,25020,Holy Ghost C. G. H. S. S. Thottakkattukara,A,534,1 to 10,"975,915",HS
"MALAYALAM,ENGLISH",10.111049,76.358068,"17,11",18,25012,S. N. D. P. H. S. S. Aluva,A,535,5 to 10,"616,357",HS
"MALAYALAM,ENGLISH",10.112261,76.357988,"8,4",12,25216,St. Francis Xavier`s L. P. S. Aluva,A,536,1 to 4,"365,216",LP
"MALAYALAM,ENGLISH",10.106297,76.357693,"16,5",36,25011,St. Mary`s H. S. Aluva,A,537,5 to 10,"605,225",HS
MALAYALAM,10.105899,76.35771,4,4,25217,St. Mary`s L. P. S. Aluva,A,538,1 to 4,123,LP
MALAYALAM,10.177416,76.240608,4,4,25838,D. P. S. L. P. S. Pazhampillythuruth,A,539,1 to 4,55,LP
MALAYALAM,10.10407,76.231249,0,28,25103,Govt. H. S. S. Ezhikkara,G,540,1 to 10,0,HS
MALAYALAM,10.16613,76.204405,20,34,25059,Govt. H. S.S . Puthiyakavu,G,541,1 to 10,519,HS
MALAYALAM,10.187832,76.202114,4,5,25808,Govt. L. P. G. S. Moothakunnam,G,542,1 to 4,31,LP
MALAYALAM,10.155125,76.279307,4,5,25801,G. L. P. S. Chalaka,G,543,1 to 4,59,LP
MALAYALAM,10.149792,76.209601,4,5,25803,G. L. P. S. Chittattukara,G,544,1 to 4,43,LP
"MALAYALAM,ENGLISH",10.172677,76.268888,"5,1",7,25804,Govt. L. P. S. Elenthikara,G,545,1 to 4,"141,26",LP
MALAYALAM,10.111101,76.229145,4,5,25805,Govt. L. P. S. Ezhikkara,G,546,1 to 4,50,LP
MALAYALAM,10.130113,76.228623,4,5,25809,Govt. L. P. S. Nanthiattukunnam,G,547,1 to 4,60,LP
MALAYALAM,10.166574,76.222576,4,5,25810,Govt. L. P. S. Parayakad,G,548,1 to 4,41,LP
MALAYALAM,10.156837,76.205691,4,5,25814,Govt. L. P. S. Pattanam,G,549,1 to 4,36,LP
MALAYALAM,10.166655,76.204042,4,6,25817,Govt. L. P. S. Puthiyakavu,G,550,1 to 4,29,LP
MALAYALAM,10.17041,76.197282,4,5,25820,Govt. L. P. S. Vavakkad,G,551,1 to 4,50,LP
MALAYALAM,10.102285,76.250351,7,10,25850,Govt. U. P. S. Kottuvally,G,552,1 to 7,171,UP
MALAYALAM,10.127877,76.26291,7,12,25851,Govt. U. P. S. Thathappilly,G,553,1 to 7,147,UP
MALAYALAM,10.119812,76.255855,7,10,25852,Govt. U. P. S. Valluvally,G,554,1 to 7,62,UP
MALAYALAM,10.116349,76.242445,24,37,25072,Govt. V. H. S. S. Kaitharam,G,555,1 to 10,727,HS
"MALAYALAM,ENGLISH",10.18263,76.189405,"19,5",41,25056,H. M. Y. S. H. S. S. Kottuvallikadu,A,556,5 to 12,"733,178",HS
MALAYALAM,10.182885,76.243672,4,4,25839,Infant Jesus L. P. S. Puthenveli,A,557,1 to 4,90,LP
MALAYALAM,10.184415,76.215971,2,2,25840,Little Flower L. P. S. Thekkethuruth,A,558,1 to 2,11,LP
MALAYALAM,10.186341,76.226689,4,4,25823,Our Lady of Mercy School. Kurumbathuruth,A,559,1 to 4,42,LP
ENGLISH,10.169046,76.186624,8,9,25831,OLSAI L. P. S. Kunjithai,A,560,1 to 4,260,LP
"MALAYALAM,ENGLISH",10.185383,76.24653,"4,4",9,25816,P. S. M. Govt. L. P. S. Puthenvelikkara,G,561,1 to 4,"85,128",LP
MALAYALAM,10.17265,76.260689,4,4,25825,Sacred Heart of Jesus L. P. S. Elenthikara,A,562,1 to 4,78,LP
"MALAYALAM,ENGLISH",10.167594,76.192355,"7,5",12,25841,Sree Narayana L. P. S. Kunjithai,A,563,1 to 4,"203,167",LP
MALAYALAM,10.182568,76.190724,5,7,25807,Govt. S. N. M. L. P. S. Kottuvallikad,G,564,1 to 4,146,LP
MALAYALAM,10.179811,76.180196,5,4,25833,S. N. M. L. P. S. Maliankara,A,565,1 to 4,159,LP
"MALAYALAM,ENGLISH",10.101188,76.265777,"4,4",8,25828,St. Philomina`s L. P. S. Koonammavu,A,566,1 to 4,"91,201",LP
MALAYALAM,10.175243,76.286665,4,4,25832,St. Francis L. P. S. North Kuthiathode,A,567,1 to 4,25,LP
"MALAYALAM,ENGLISH",10.101018,76.262441,"11,13",24,25855,St. Joseph`s U. P. S. Koonammavu,A,568,1 to 7,"587,746",UP
MALAYALAM,10.104072,76.248836,4,4,25830,St. Louis L. P. S. Kottuvally,A,569,1 to 4,45,LP
"MALAYALAM,ENGLISH",10.178441,76.20968,"5,3",9,25856,St. Peter`s U. P. S. Vadakkekara,A,570,5 to 7,"180,108",UP
"MALAYALAM,ENGLISH",10.198891,76.237162,"7,7",17,25854,St. Thomas U. P. S. Thuruthoor,A,571,1 to 7,"173,188",UP
MALAYALAM,10.082162,76.236751,4,4,25834,St. Vincent`s L. P. S. Palliekkal,A,572,1 to 4,54,LP
"MALAYALAM,ENGLISH",10.180612,76.244593,"17,7",42,25108,V. C. S. H. S. S. Puthenvelikkara,A,573,5 to 10,"764,246",HS
"MALAYALAM,ENGLISH",10.157501,76.306831,"30,30",48,25062,Christ Raj H. S. Kuttipuzha,A,574,5 to 10,"1209,1209",HS
"MALAYALAM,ENGLISH",10.154333,76.336947,"10,5",27,25061,Govt. H. S. S. Chengamanad,G,575,5 to 12,"370,165",HS
"MALAYALAM,ENGLISH",10.20309,76.354823,"15,6",33,25028,Govt. H. S. S. Puliyanam,G,576,1 to 10,"464,196",HS
MALAYALAM,10.129598,76.350154,4,5,25406,Govt. J. B. S. Desom,G,577,1 to 4,61,LP
MALAYALAM,10.155987,76.319722,11,13,25402,Govt. J. B. S. Kunnukara,G,578,1 to 4,390,LP
MALAYALAM,10.126583,76.348932,5,7,25450,Govt. K. Y. L. P. S. Thuruthummel,G,579,1 to 5,31,LP
MALAYALAM,10.16249,76.369682,4,5,25401,Govt. L. P. B. S. Akaparambu,G,580,1 to 4,22,LP
MALAYALAM,10.154064,76.33657,4,7,25404,Govt. L. P. S. Chengamanad,G,581,1 to 4,125,LP
MALAYALAM,10.206873,76.337033,0,5,25407,Govt. L. P. S. Elavoor,G,582,1 to 4,0,LP
MALAYALAM,10.202275,76.383629,5,6,25449,Govt. L. P. G. S. Kothakulangara,G,583,1 to 5,31,LP
MALAYALAM,10.193203,76.343016,4,5,25410,Govt. L. P. S. Mallussery,G,584,1 to 4,31,LP
MALAYALAM,10.215935,76.354562,4,5,25411,Govt. L. P. S. Mambra,G,585,1 to 4,12,LP
MALAYALAM,10.184336,76.316347,4,5,25416,Govt. L. P. S. Parakkadavu,G,586,1 to 4,12,LP
MALAYALAM,10.167935,76.340084,4,5,25417,Govt. L. P. S. Poickattussery,G,587,1 to 4,50,LP
MALAYALAM,10.158148,76.35664,4,5,25418,Govt. L. P. S. Thuruthissery,G,588,1 to 4,66,LP
MALAYALAM,10.169701,76.362314,4,5,25409,Govt. S. V. L. P. S. Maikkad,G,589,1 to 4,28,LP
MALAYALAM,10.179275,76.330702,9,12,25457,Govt. U. P. S. Kurumassery,G,590,1 to 7,200,UP
MALAYALAM,10.199866,76.368229,7,10,25459,Govt. U. P. S. Peechanickad,G,591,1 to 7,52,UP
"MALAYALAM,ENGLISH",10.188088,76.388564,"5,6",11,25420,Holy Family L. P. G. S. Angamally,A,592,1 to 4,"194,349",LP
MALAYALAM,10.159204,76.35922,8,16,25060,Mar Athanasius H. S. Nedumbassery,A,593,5 to 10,205,HS
"MALAYALAM,ENGLISH",10.16932,76.329489,"10,10",8,25063,N. S. S. H. S. S. Parakkadavu,A,594,5 to 10,"466,466",HS
"MALAYALAM,ENGLISH",10.189532,76.326695,"7,3",13,25465,St. Mary`s U. P. S. Moozhikkulam,A,595,1 to 7,"178,82",UP
"MALAYALAM,ENGLISH",10.186613,76.382168,"6,5",23,25023,St. Joseph`s H. S. Angamally,A,596,5 to 10,"194,163",HS
MALAYALAM,10.168494,76.311554,4,5,25403,St. Joseph`s Govt. L. P. S. Ayroor,G,597,1 to 4,27,LP
"MALAYALAM,ENGLISH",10.205276,76.320683,"28,8",44,25092,St. Joseph`s Girls H. S. Poovathussery,A,598,1 to 10,"1082,831",HS
MALAYALAM,10.187405,76.382386,4,4,25421,St. Mary`s L. P. S. Angamally,A,599,1 to 4,42,LP
"MALAYALAM,ENGLISH",10.177023,76.307094,"9,6",30,25064,St. Thomas H. S. Ayroor,A,600,5 to 10,"256,177",HS
"MALAYALAM,ENGLISH",10.206126,76.346272,"3,3",9,25461,St. Antony`s U. P. S. Elavoor,A,601,5 to 7,"63,101",UP
MALAYALAM,10.207509,76.355569,5,5,25439,St. Francis L. P. S. Puliyanam,A,602,1 to 4,139,LP
"MALAYALAM,ENGLISH",10.188283,76.388339,"18,9",44,25024,Holy Family Girls H. S. Angamally,A,603,5 to 10,"807,412",HS
"MALAYALAM,ENGLISH",9.798194,76.275973,"4,4",8,26326,St. George`s L.P.S. South Chellanam,A,604,1 to 4,"55,72",LP
MALAYALAM,9.87541,76.2651,4,4,26328,St. Joseph`s. L.P.S Cheriyakadavu,A,605,1 to 4,17,LP
"MALAYALAM,ENGLISH",9.862007,76.29213,"4,4",8,26325,St. George`s. L.P.S. Pazhangad,A,606,1 to 4,"84,114",LP
"MALAYALAM,ENGLISH",9.881426,76.287736,"4,8",12,26324,St. Peter`s L.P.S. Kumbalangy,A,607,1 to 4,"93,257",LP
MALAYALAM,9.896506,76.284533,4,4,26323,St Joseph`s L.P.S. North Kumbalangy,A,608,1 to 4,46,LP
"MALAYALAM,ENGLISH",9.883105,76.28651,"5,5",10,26332,V.P.Y.L.P.S .Illikkal,A,609,1 to 5,"122,124",LP
"MALAYALAM,ENGLISH",9.912333,76.254015,"11,7",19,26342,St. Joseph`s Girls U.P.S. Manachery,A,610,1 to 7,"334,290",UP
"MALAYALAM,ENGLISH",9.861842,76.291824,"5,3",10,26345,St. George`s U.P.S. Pazhangad,A,611,5 to 7,"141,99",UP
"MALAYALAM,ENGLISH",9.823244,76.27247,"19,11",46,26002,St. Mary`s H.S Chellanam,A,612,5 to 10,"735,423",HS
MALAYALAM,9.980416,76.552747,3,5,28427,Govt. U P S Kadathy,G,613,5 to 7,22,UP
MALAYALAM,9.906424,76.605033,7,10,28422,Govt. U P S Pandappilly,G,614,1 to 7,103,UP
"MALAYALAM,ENGLISH",9.978511,76.523642,"11,8",34,28048,Mar Stephen H S Valakom,A,615,5 to 12,"393,316",HS
MALAYALAM,9.977194,76.525076,4,4,28414,Mar Thoma L P S Valakom,A,616,1 to 4,23,LP
"MALAYALAM,ENGLISH",10.037732,76.53873,"9,3",23,28011,N S S H S Mannoor,A,617,5 to 10,"266,68",HS
"MALAYALAM,ENGLISH",9.978174,76.600607,"4,4",8,28413,S A B T M L P S Randarkara,A,618,1 to 4,"82,124",LP
MALAYALAM,9.913188,76.620242,49,9,28426,St. George`s U P S Thottakara,A,619,1 to 7,47,UP
"MALAYALAM,ENGLISH",9.930358,76.601791,"4,4",8,28408,St. Joseph`s L P S Arakuzha,A,620,1 to 4,"93,140",LP
MALAYALAM,9.955566,76.604376,7,10,28425,St. Joseph`s U P S Peringazha,A,621,1 to 7,80,UP
MALAYALAM,9.928726,76.605028,11,20,28026,St. Mary`s H S S Arakuzha,A,622,5 to 10,279,HS
MALAYALAM,9.919772,76.636553,60,10,28038,St. Sebastian`s H S Memadangu,A,623,8 to 10,60,HS
MALAYALAM,9.920414,76.63453,5,5,28417,St. Sebastian`s L P S Arikuzha,A,624,1 to 5,37,LP
MALAYALAM,9.99797,76.636624,4,5,28205,Govt. L P S Kalampoor,G,625,1 to 4,25,LP
MALAYALAM,9.978016,76.631701,4,5,28201,Govt. L P S Karimattom,G,626,1 to 4,26,LP
MALAYALAM,9.932479,76.621014,4,5,28204,Govt. L P S Kavana,G,627,1 to 4,38,LP
MALAYALAM,9.950128,76.675548,4,5,28202,Govt. L P S Maniyantharam,G,628,1 to 4,23,LP
MALAYALAM,9.956115,76.650095,62,5,28203,Govt. L P S Neerampuzha,G,629,1 to 4,62,LP
"MALAYALAM,ENGLISH",9.98493,76.710478,"13,3",27,28035,Iype Memorial H S Kaloor,A,630,5 to 10,"505,71",HS
MALAYALAM,9.96698,76.704355,5,5,28217,Little Flower L P S Thazhuvamkunnu,A,631,1 to 5,36,LP
MALAYALAM,9.914082,76.689379,4,5,28216,NSS L P S Kappu,A,632,1 to 4,46,LP
MALAYALAM,9.976047,76.658258,7,9,28218,Panchayath U P S Maruthur,A,633,1 to 7,69,UP
MALAYALAM,9.975894,76.684758,7,9,28219,Panchayath U P S Vellarankallu,A,634,1 to 7,37,UP
"MALAYALAM,ENGLISH",9.964687,76.615605,"8,4",13,28210,St. Antony`s L P S Anicadu,A,635,1 to 4,"205,154",LP
"MALAYALAM,ENGLISH",9.9192,76.6663,"4,4",6,28209,St. Andrew`s L P S Kadalikkad,A,636,1 to 4,"87,153",LP
MALAYALAM,9.967049,76.671539,4,4,28215,St. Augustin`s L P S Kalloorkad,A,637,1 to 4,103,LP
MALAYALAM,9.942201,76.637618,7,15,28223,St.George T T I Vazhakkulam,A,638,1 to 7,56,UP
"MALAYALAM,ENGLISH",9.983866,76.637776,"8,6",25,28042,Sacred Heart H S Ayavana,A,639,5 to 10,"225,229",HS
"MALAYALAM,ENGLISH",9.986325,76.707617,"7,6",16,28221,St. John`s U P S Kaloor,A,640,1 to 7,"189,186",UP
"MALAYALAM,ENGLISH",9.945785,76.642429,"11,12",21,28041,St. Little Teresa`s H S Vazhakkulam,A,641,5 to 10,"304,307",HS
"MALAYALAM,ENGLISH",9.945275,76.642277,"4,4",8,28206,St. Little Teresa`s L P S Vazhakulam,A,642,1 to 4,"76,149",LP
MALAYALAM,9.942858,76.696095,12,21,28036,St. Mary`s H S Nakapuzha,A,643,1 to 10,328,HS
MALAYALAM,9.979405,76.601097,3,6,28222,St. Michael`s U P S Randar,A,644,5 to 7,20,UP
MALAYALAM,9.923957,76.68154,4,4,28212,St. Paul`s L P S Madakkathanam,A,645,1 to 4,23,LP
MALAYALAM,9.927947,76.653299,4,4,28213,St. Rita`s L P S Thekkumala,A,646,1 to 4,12,LP
"MALAYALAM,ENGLISH",9.962841,76.617529,"19,6",40,28044,St. Sebastian`s H S Anicadu,A,647,5 to 10,"718,358",HS
